,P0_black fabric roller blind fully extended,P1_silver bead pull chain for the roller blind,P2_white window frame (sill at bottom and side pillar on the left),P3_beige and black over-ear hearing protection earmuffs,P4_gray camouflage wireless game controller,P5_green and white rectangular tissue box,P6_small yellow metal binder clip,P7_cylindrical metal calibration weight labeled 'M 500g',P8_small Phillips-head screwdriver with purple translucent handle,P9_curved metal pry tool or spudger,P10_black Nikon DSLR camera with lens and Nikon-branded strap,P11_green plush turtle-shell pillow,P12_spool of white thread,P13_green spray bottle of cleaning solution,P14_black tenkeyless keyboard with grey keys and one red keycap
P0_black fabric roller blind fully extended,"0(0,0,0)","9(3,4,2)","9(4,2,3)","16(6,6,4)","11(5,3,3)","15(5,5,5)","13(4,5,4)","7(3,2,2)","10(4,3,3)","12(4,4,4)","14(5,5,4)","11(4,4,3)","11(4,4,3)","13(5,4,4)","18(6,6,6)"
P1_silver bead pull chain for the roller blind,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P2_white window frame (sill at bottom and side pillar on the left),"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P3_beige and black over-ear hearing protection earmuffs,"18(6,6,6)","10(3,4,3)","10(3,3,4)","0(0,0,0)","15(5,5,5)","14(5,5,4)","13(4,4,5)","9(3,3,3)","11(4,4,3)","13(4,5,4)","14(5,5,4)","7(3,2,2)","12(4,4,4)","15(5,5,5)","16(5,6,5)"
P4_gray camouflage wireless game controller,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P5_green and white rectangular tissue box,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P6_small yellow metal binder clip,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P7_cylindrical metal calibration weight labeled 'M 500g',"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P8_small Phillips-head screwdriver with purple translucent handle,"18(6,6,6)","9(3,4,2)","9(4,2,3)","16(5,5,6)","11(4,3,4)","18(6,6,6)","16(5,6,5)","8(3,2,3)","0(0,0,0)","14(5,5,4)","13(5,4,4)","7(2,3,2)","9(3,3,3)","13(4,5,4)","18(6,6,6)"
P9_curved metal pry tool or spudger,"18(6,6,6)","10(3,4,3)","8(3,3,2)","15(5,5,5)","13(4,5,4)","17(6,6,5)","12(4,5,3)","6(2,3,1)","11(3,4,4)","0(0,0,0)","12(3,5,4)","8(2,4,2)","11(3,5,3)","13(4,5,4)","13(4,5,4)"
P10_black Nikon DSLR camera with lens and Nikon-branded strap,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P11_green plush turtle-shell pillow,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P12_spool of white thread,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P13_green spray bottle of cleaning solution,"18(6,6,6)","8(3,3,2)","9(4,2,3)","16(6,6,4)","13(5,4,4)","15(5,5,5)","12(4,4,4)","7(3,2,2)","11(4,3,4)","12(4,4,4)","14(5,4,5)","11(3,5,3)","10(3,3,4)","0(0,0,0)","18(6,6,6)"
P14_black tenkeyless keyboard with grey keys and one red keycap,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
